1388,224.09,195.72,28.37,800,37.13,131.54,100,261.22,129.96,1.58
1389,225.61,197.2,28.41,800,36.41,129.05,100,262.02,127.43,1.61
1390,225.59,197.2,28.38,800,37.24,131.97,100,262.82,130.32,1.65
1391,226.85,198.44,28.41,800,36.77,130.39,100,263.62,128.7,1.69
1392,227.08,198.69,28.4,800,37.34,132.41,100,264.42,130.68,1.72
1393,227.58,199.18,28.4,800,37.64,133.51,100,265.22,131.75,1.76
1394,229.02,200.67,28.36,800,37,131.29,100,266.02,129.5,1.8
1395,229.52,201.16,28.36,800,37.3,132.4,100,266.82,130.56,1.84
1396,230.75,202.4,28.36,800,36.87,130.91,100,267.62,129.04,1.87
1397,231.52,203.14,28.38,800,36.9,131.06,100,268.42,129.15,1.91
1398,232.24,203.88,28.36,800,36.98,131.39,100,269.22,129.44,1.95
1399,233.25,204.87,28.38,800,36.77,130.68,100,270.02,128.69,1.98
1400,233.96,205.61,28.34,800,36.87,131.05,100,270.82,129.03,2.02
1401,234.46,206.11,28.36,800,37.16,132.12,100,271.62,130.06,2.06
1402,235.44,207.1,28.34,800,36.98,131.54,100,272.42,129.44,2.09
1403,236.67,208.33,28.34,800,36.55,130.05,100,273.22,127.92,2.13
1404,237.69,209.32,28.37,800,36.33,129.33,100,274.02,127.17,2.17
1405,238.68,210.31,28.37,800,36.14,128.71,100,274.82,126.51,2.2
1406,239.13,210.8,28.33,800,36.49,129.95,100,275.62,127.71,2.24
1407,239.64,211.3,28.34,800,36.78,131.01,100,276.42,128.74,2.28
1408,241.38,213.03,28.36,800,35.84,127.75,100,277.22,125.44,2.31
1409,242.33,214.01,28.32,800,35.69,127.26,100,278.02,124.92,2.35
1410,243.07,214.76,28.32,800,35.75,127.51,100,278.82,125.12,2.38
1411,244.31,215.99,28.32,800,35.31,126.02,100,279.62,123.6,2.42
1412,245.05,216.73,28.32,800,35.37,126.26,100,280.42,123.81,2.46
1413,245.8,217.47,28.33,800,35.42,126.46,100,281.22,123.97,2.49
1414,246.8,218.46,28.34,800,35.22,125.79,100,282.02,123.26,2.53
1415,248.78,220.43,28.34,800,34.04,121.71,100,282.82,119.15,2.56
1416,249,220.68,28.32,800,34.62,123.77,100,283.62,121.18,2.6
1417,250,221.67,28.33,800,34.42,123.11,100,284.42,120.48,2.63
1418,251.49,223.15,28.34,800,33.73,120.71,100,285.22,118.05,2.66
1419,252.97,224.63,28.34,800,33.05,118.36,100,286.02,115.67,2.7
1420,253.7,225.37,28.33,800,33.12,118.65,100,286.82,115.92,2.73
1421,254.19,225.86,28.33,800,33.43,119.76,100,287.62,116.99,2.76
1422,255.41,227.1,28.32,800,33.01,118.32,100,288.42,115.52,2.8
1423,256.4,228.08,28.32,800,32.82,117.7,100,289.22,114.87,2.83
1424,258.39,230.06,28.33,800,31.63,113.58,100,290.02,110.72,2.86
1425,259.62,231.29,28.33,800,31.2,112.1,100,290.82,109.21,2.89
1426,260.87,232.52,28.34,800,30.76,110.57,100,291.62,107.65,2.92
1427,261.35,233.01,28.33,800,31.08,111.72,100,292.42,108.77,2.96
1428,262.84,234.49,28.34,800,30.39,109.33,100,293.22,106.35,2.99
1429,262.84,234.49,28.34,800,31.19,112.16,100,294.02,109.15,3.02
1430,264.79,236.46,28.33,800,30.03,108.14,100,294.82,105.1,3.05
1431,266.03,237.7,28.33,800,29.6,106.66,100,295.62,103.59,3.08
1432,267.02,238.68,28.34,800,29.4,106,100,296.42,102.89,3.11
1433,268.76,240.4,28.36,800,28.46,102.75,100,297.22,99.62,3.14
1434,269.27,240.9,28.37,800,28.76,103.81,100,298.02,100.65,3.16
1435,270.73,242.37,28.36,800,28.09,101.52,100,298.82,98.31999999999999,3.19
1436,272.46,244.09,28.37,800,27.16,98.27,98.27,299.62,95.05,3.22
1437,273.47,245.08,28.4,800,26.95,97.56999999999999,97.57000000000001,300.42,94.31999999999999,3.25
1438,274.19,245.82,28.37,800,27.04,97.90000000000001,97.89999999999999,301.22,94.63,3.27
1439,275.14,246.8,28.34,800,26.88,97.38,97.38,302.02,94.06999999999999,3.3
1440,276.89,248.52,28.37,800,25.93,94.09,94.08999999999999,302.82,90.76000000000001,3.33
1441,277.87,249.5,28.37,800,25.75,93.47,93.47,303.62,90.12,3.35
1442,278.83,250.49,28.34,800,25.59,92.95,92.95,304.42,89.56999999999999,3.38
1443,280.59,252.21,28.38,800,24.63,89.62,89.62,305.22,86.22,3.4
1444,282.02,253.68,28.34,800,24,87.43000000000001,87.42999999999999,306.02,84,3.43
1445,283.29,254.91,28.38,800,23.53,85.81999999999999,85.81999999999999,306.82,82.37,3.45
1446,284.26,255.89,28.37,800,23.36,85.25,85.25,307.62,81.78,3.48
1447,285.23,256.87,28.36,800,23.2,84.68000000000001,84.68000000000001,308.42,81.19,3.5
1448,286.21,257.85,28.36,800,23.01,84.06999999999999,84.06999999999999,309.22,80.55,3.52
1449,287.68,259.32,28.36,800,22.34,81.75,81.75,310.02,78.2,3.55
1450,289.19,260.79,28.4,800,21.63,79.28,79.28,310.82,75.72,3.57
1451,289.9,261.53,28.37,800,21.72,79.62,79.62,311.62,76.03,3.59
1452,292.12,263.73,28.38,800,20.31,74.68000000000001,74.68000000000001,312.42,71.06999999999999,3.61
1453,292.33,263.98,28.36,800,20.89,76.73,76.73,313.22,73.09999999999999,3.63
1454,294.29,265.94,28.36,800,19.73,72.7,72.7,314.02,69.05,3.65
1455,295.77,267.41,28.37,800,19.05,70.33,70.33,314.82,66.66,3.67
1456,297.01,268.63,28.38,800,18.61,68.81999999999999,68.82000000000001,315.62,65.14,3.69
1457,297.95,269.61,28.34,800,18.47,68.34999999999999,68.34999999999999,316.42,64.65000000000001,3.71
1458,299.42,271.07,28.34,800,17.8,66.04000000000001,66.03999999999999,317.22,62.31,3.73
1459,300.67,272.3,28.37,800,17.36,64.48999999999999,64.49000000000001,318.02,60.74,3.74
1460,301.86,273.52,28.34,800,16.96,63.12,63.12,318.82,59.36,3.76
1461,303.1,274.74,28.36,800,16.53,61.62,61.62,319.62,57.84,3.78
1462,304.29,275.96,28.33,800,16.13,60.25,60.25,320.42,56.46,3.79
1463,305.78,277.43,28.36,800,15.44,57.85,57.85,321.22,54.04,3.81
1464,306.5,278.16,28.34,800,15.52,58.15,58.15,322.02,54.32,3.82
1465,308.22,279.86,28.36,800,14.6,54.94,54.94,322.82,51.1,3.84
1466,308.71,280.35,28.36,800,14.91,56.05,56.05,323.62,52.19,3.85
1467,309.68,281.33,28.36,800,14.74,55.45,55.45,324.42,51.58,3.87
1468,311.88,283.52,28.36,800,13.34,50.59,50.59,325.22,46.7,3.88
1469,312.36,284.01,28.36,800,13.66,51.7,51.7,326.02,47.8,3.9
1470,313.81,285.47,28.34,800,13.01,49.44,49.44,326.82,45.53,3.91
1471,315.03,286.69,28.34,800,12.59,47.99,47.99,327.62,44.07,3.92
1472,316.52,288.15,28.37,800,11.91,45.61,45.61,328.42,41.67,3.94
1473,317.73,289.36,28.37,800,11.49,44.16,44.16,329.22,40.21,3.95
1474,318.2,289.85,28.36,800,11.82,45.32,45.32,330.02,41.36,3.96
1475,319.65,291.31,28.34,800,11.17,43.07,43.07,330.82,39.1,3.97
1476,321.11,292.76,28.34,800,10.51,40.78,40.78,331.62,36.8,3.98
1477,322.58,294.22,28.36,800,9.84,38.44,38.44,332.42,34.45,3.99
1478,323.29,294.95,28.34,800,9.93,38.75,38.75,333.22,34.75,4
1479,324.25,295.92,28.33,800,9.77,38.21,38.21,334.02,34.2,4.01
1480,325.48,297.13,28.34,800,9.34,36.73,36.73,334.82,32.71,4.02
1481,326.7,298.35,28.36,800,8.92,35.25,35.25,335.62,31.22,4.03
1482,327.91,299.56,28.36,800,8.51,33.82,33.82,336.42,29.78,4.04
1483,328.86,300.53,28.33,800,8.359999999999999,33.32,33.32,337.22,29.28,4.05
1484,330.05,301.69,28.36,800,7.97,31.95,31.95,338.02,27.9,4.05
1485,330.76,302.42,28.34,800,8.06,32.28,32.28,338.82,28.21,4.06
1486,331.74,303.38,28.36,800,7.88,31.67,31.67,339.62,27.6,4.07
1487,332.94,304.58,28.36,800,7.48,30.26,30.26,340.42,26.18,4.08
1488,333.89,305.55,28.34,800,7.33,29.75,29.75,341.22,25.66,4.09
1489,334.38,306.03,28.36,800,7.64,30.82,30.82,342.02,26.73,4.09
1490,335.35,306.99,28.36,800,7.47,30.26,30.26,342.82,26.16,4.1
1491,337.03,308.67,28.36,800,6.59,27.18,27.18,343.62,23.07,4.11
1492,337.99,309.64,28.36,800,6.43,26.62,26.62,344.42,22.5,4.11
1493,338.95,310.6,28.36,800,6.27,26.06,26.06,345.22,21.94,4.12
1494,339.18,310.84,28.34,800,6.84,28.07,28.07,346.02,23.94,4.13
1495,340.15,311.8,28.36,800,6.67,27.47,27.47,346.82,23.33,4.13
1496,341.6,313.24,28.36,800,6.02,25.23,25.23,347.62,21.09,4.14
1497,342.56,314.2,28.36,800,5.86,24.67,24.67,348.42,20.52,4.15
1498,343.28,314.92,28.36,800,5.94,24.95,24.95,349.22,20.8,4.15
1499,344.22,315.88,28.34,800,5.8,24.44,24.44,350.02,20.29,4.16
1500,344.48,316.12,28.36,800,6.34,26.36,26.36,350.82,22.2,4.16
1501,346.14,317.8,28.34,800,5.48,23.34,23.34,351.62,19.17,4.17
1502,346.62,318.28,28.34,800,5.8,24.46,24.46,352.42,20.29,4.18
1503,347.36,319,28.36,800,5.86,24.7,24.7,353.22,20.52,4.18
1504,348.09,319.72,28.37,800,5.93,24.95,24.95,354.02,20.76,4.19
1505,348.8,320.44,28.36,800,6.02,25.28,25.28,354.82,21.08,4.19
1506,350.21,321.88,28.33,800,5.41,23.14,23.14,355.62,18.94,4.2
1507,350.7,322.36,28.34,800,5.72,24.22,24.22,356.42,20.02,4.2
1508,351.65,323.32,28.33,800,5.57,23.72,23.72,357.22,19.51,4.21
1509,352.15,323.8,28.36,800,5.87,24.75,24.75,358.02,20.54,4.22
1510,353.59,325.23,28.36,800,5.23,22.53,22.53,358.82,18.31,4.22
1511,353.82,325.47,28.34,800,5.8,24.54,24.54,359.62,20.31,4.23
1512,354.54,326.19,28.34,800,5.89,24.83,24.83,360.42,20.6,4.23
1513,355.76,327.39,28.37,800,5.46,23.36,23.36,361.22,19.12,4.24
1514,356.48,328.11,28.37,800,5.54,23.65,23.65,362.02,19.4,4.24
1515,357.19,328.83,28.37,800,5.63,23.94,23.94,362.82,19.69,4.25
1516,357.65,329.3,28.34,800,5.97,25.16,25.16,363.62,20.91,4.26
1517,358.63,330.26,28.37,800,5.79,24.53,24.53,364.42,20.26,4.26
1518,359.11,330.74,28.37,800,6.11,25.66,25.66,365.22,21.39,4.27
1519,359.84,331.46,28.38,800,6.18,25.91,25.91,366.02,21.63,4.27
1520,359.83,331.46,28.37,800,6.99,28.76,28.76,366.82,24.48,4.28
1521,361.5,333.13,28.37,800,6.12,25.7,25.7,367.62,21.42,4.29
1522,361.98,333.61,28.37,800,6.44,26.84,26.84,368.42,22.54,4.29
1523,362.46,334.09,28.37,800,6.76,27.97,27.97,369.22,23.67,4.3
1524,362.91,334.57,28.34,800,7.11,29.19,29.19,370.02,24.89,4.31
1525,363.4,335.04,28.36,800,7.42,30.28,30.28,370.82,25.97,4.31
1526,363.88,335.52,28.36,800,7.74,31.42,31.42,371.62,27.09,4.32
1527,364.82,336.48,28.34,800,7.6,30.92,30.92,372.42,26.59,4.33
1528,365.82,337.43,28.38,800,7.4,30.25,30.25,373.22,25.91,4.34
1529,366.28,337.91,28.37,800,7.74,31.43,31.43,374.02,27.09,4.34
1530,366.75,338.39,28.36,800,8.07,32.61,32.61,374.82,28.26,4.35
1531,367.45,339.11,28.34,800,8.17,32.96,32.96,375.62,28.6,4.36
1532,367.94,339.58,28.36,800,8.48,34.05,34.05,376.42,29.68,4.37
1533,368.64,340.3,28.34,800,8.58,34.39,34.39,377.22,30.02,4.38
1534,368.91,340.54,28.37,800,9.109999999999999,36.28,36.28,378.02,31.89,4.39
1535,370.1,341.73,28.37,800,8.720000000000001,34.91,34.91,378.82,30.51,4.39
1536,370.33,341.97,28.36,800,9.289999999999999,36.93,36.93,379.62,32.52,4.4
1537,371.04,342.69,28.36,800,9.380000000000001,37.23,37.23,380.42,32.82,4.41
1538,371.06,342.69,28.37,800,10.16,39.99,39.98999999999999,381.22,35.57,4.42
1539,372.26,343.88,28.38,800,9.76,38.58,38.58,382.02,34.15,4.43
1540,372.71,344.36,28.36,800,10.11,39.81,39.81,382.82,35.37,4.44
1541,373.47,345.07,28.4,800,10.15,39.98,39.98,383.62,35.53,4.45
1542,373.95,345.55,28.4,800,10.47,41.12,41.12,384.42,36.66,4.46
1543,373.92,345.55,28.37,800,11.3,44.02,44.02,385.22,39.55,4.47
1544,375.13,346.74,28.38,800,10.89,42.62,42.62,386.02,38.13,4.49
1545,375.34,346.98,28.36,800,11.48,44.68,44.68,386.82,40.19,4.5
1546,376.33,347.94,28.4,800,11.29,44.02,44.02,387.62,39.51,4.51
1547,376.77,348.41,28.36,800,11.65,45.3,45.3,388.42,40.78,4.52
1548,377.03,348.65,28.38,800,12.19,47.19,47.19,389.22,42.66,4.53
