0,0,0,0
1,-0.00036756,-0.00036695,0
2,-0.0014433,-0.0014385,-0.43527
3,-0.0031871,-0.003171,-0.84293
4,-0.005559,-0.0055214,-1.2234
5,-0.0085193,-0.0084469,-1.577
6,-0.012028,-0.011905,-1.9043
7,-0.016047,-0.015855,-2.2056
8,-0.020537,-0.020254,-2.4813
9,-0.025458,-0.025062,-2.7317
10,-0.030773,-0.030238,-2.9573
11,-0.036443,-0.035743,-3.1584
12,-0.042431,-0.041537,-3.3355
13,-0.048697,-0.04758,-3.4887
14,-0.055206,-0.053834,-3.6186
15,-0.061919,-0.06026,-3.7255
16,-0.068799,-0.066822,-3.8096
17,-0.07581,-0.073481,-3.8714
18,-0.082916,-0.0802,-3.9112
19,-0.090079,-0.086943,-3.9293
20,-0.097263,-0.093674,-3.9261
21,-0.10443,-0.10036,-3.9018
22,-0.11155,-0.10696,-3.8567
23,-0.11859,-0.11344,-3.7913
24,-0.12551,-0.11977,-3.7057
25,-0.13227,-0.12591,-3.6004
26,-0.13884,-0.13184,-3.4755
27,-0.14518,-0.13751,-3.3314
28,-0.15127,-0.14289,-3.1684
29,-0.15707,-0.14796,-2.9868
30,-0.16159,-0.15268,-2.7868
31,-0.16471,-0.15701,-2.5687
32,-0.16742,-0.16093,-2.3328
33,-0.16969,-0.16441,-2.0794
34,-0.1715,-0.16742,-1.8086
35,-0.17282,-0.16992,-1.5209
36,-0.17362,-0.17189,-1.2164
37,-0.17386,-0.1733,-0.89535
38,-0.17352,-0.17412,-0.55806
39,-0.17258,-0.17431,-0.20475
40,-0.171,-0.17386,0.16433
41,-0.16877,-0.17274,0.54896
42,-0.16584,-0.17092,0.94889
43,-0.1622,-0.16836,1.3639
44,-0.15782,-0.16506,1.7937
45,-0.15268,-0.16097,2.2382
46,-0.14674,-0.15607,2.6971
47,-0.14,-0.15035,3.1702
48,-0.13241,-0.14376,3.6572
49,-0.12397,-0.1363,4.158
50,-0.11463,-0.12793,4.6724
51,-0.10439,-0.11864,5.2001
52,-0.093225,-0.10839,5.7409
53,-0.081104,-0.097169,6.2947
54,-0.068008,-0.084949,6.8612
55,-0.053918,-0.07171,7.4403
56,-0.038812,-0.057428,8.0318
57,-0.022669,-0.042084,8.6355
