327,28.54,1.34,27.20,1,2363,0.3767,200.00,75.45,46.91,37.67,0.14,37.53
328,28.81,1.57,27.24,2,2366,0.3809,200.00,76.25,47.44,38.09,0.14,37.95
329,28.79,1.57,27.22,2,2364,0.3876,200.00,77.05,48.26,38.76,0.15,38.61
330,28.79,1.57,27.22,2,2364,0.3940,200.00,77.85,49.06,39.40,0.15,39.25
331,28.56,1.34,27.23,1,2365,0.4023,200.00,78.65,50.09,40.23,0.16,40.07
332,29.02,1.81,27.22,3,2364,0.4051,200.00,79.45,50.43,40.51,0.16,40.34
333,29.28,2.04,27.24,4,2366,0.4094,200.00,80.25,50.97,40.94,0.17,40.77
334,29.04,1.81,27.23,3,2365,0.4179,200.00,81.05,52.01,41.79,0.17,41.61
335,29.98,2.75,27.23,7,2365,0.4168,200.00,81.85,51.87,41.68,0.18,41.50
336,30.01,2.75,27.25,7,2367,0.4230,200.00,82.65,52.64,42.30,0.18,42.12
337,30.24,2.99,27.25,8,2367,0.4276,200.00,83.45,53.21,42.76,0.19,42.57
338,30.71,3.46,27.25,10,2367,0.4302,200.00,84.25,53.54,43.02,0.19,42.83
339,30.95,3.70,27.25,11,2367,0.4348,200.00,85.05,54.10,43.48,0.20,43.28
340,31.90,4.64,27.25,15,2367,0.4337,200.00,85.85,53.96,43.37,0.21,43.16
341,32.37,5.11,27.25,17,2367,0.4364,200.00,86.65,54.28,43.64,0.21,43.43
342,32.60,5.35,27.25,18,2367,0.4409,200.00,87.45,54.85,44.09,0.22,43.88
343,32.59,5.35,27.24,18,2366,0.4475,200.00,88.25,55.66,44.75,0.22,44.53
344,33.33,6.06,27.27,21,2368,0.4481,200.00,89.05,55.72,44.81,0.23,44.58
345,32.59,5.35,27.24,18,2366,0.4604,200.00,89.85,57.26,46.04,0.23,45.81
346,33.08,5.82,27.25,20,2367,0.4630,200.00,90.65,57.57,46.30,0.24,46.06
347,33.09,5.82,27.27,20,2368,0.4693,200.00,91.45,58.36,46.93,0.24,46.69
348,34.27,7.01,27.27,25,2368,0.4663,200.00,92.25,57.98,46.63,0.25,46.38
349,34.98,7.72,27.27,28,2368,0.4671,200.00,93.05,58.07,46.71,0.26,46.45
350,35.22,7.95,27.27,29,2368,0.4717,200.00,93.85,58.63,47.17,0.26,46.91
351,35.21,7.95,27.25,29,2367,0.4782,200.00,94.65,59.44,47.82,0.27,47.56
352,36.15,8.90,27.25,33,2367,0.4771,200.00,95.45,59.30,47.71,0.27,47.44
353,36.88,9.61,27.27,36,2368,0.4778,200.00,96.25,59.37,47.78,0.28,47.50
354,37.09,9.85,27.24,37,2366,0.4826,200.00,97.05,59.96,48.26,0.29,47.97
355,37.35,10.08,27.27,38,2368,0.4869,200.00,97.85,60.50,48.69,0.29,48.40
356,38.06,10.79,27.27,41,2368,0.4877,200.00,98.65,60.59,48.77,0.30,48.47
357,38.31,11.03,27.28,42,2369,0.4921,200.00,99.45,61.14,49.21,0.30,48.91
358,38.77,11.51,27.27,44,2368,0.4949,200.00,100.25,61.48,49.49,0.31,49.18
359,40.20,12.93,27.27,50,2368,0.4900,200.00,101.05,60.85,49.00,0.32,48.68
360,40.43,13.17,27.27,51,2368,0.4946,200.00,101.85,61.42,49.46,0.32,49.13
361,40.67,13.40,27.27,52,2368,0.4991,200.00,102.65,61.98,49.91,0.33,49.58
362,41.37,14.12,27.25,55,2367,0.5000,200.00,103.45,62.08,50.00,0.33,49.66
363,42.10,14.83,27.27,58,2368,0.5006,200.00,104.25,62.15,50.06,0.34,49.72
364,42.11,14.83,27.28,58,2369,0.5070,200.00,105.05,62.94,50.70,0.35,50.35
365,43.07,15.78,27.29,62,2370,0.5058,200.00,105.85,62.78,50.58,0.35,50.22
366,44.02,16.73,27.29,66,2370,0.5046,200.00,106.65,62.63,50.46,0.36,50.10
367,44.24,16.97,27.27,67,2368,0.5094,200.00,107.45,63.21,50.94,0.37,50.57
368,44.47,17.21,27.27,68,2368,0.5139,200.00,108.25,63.78,51.39,0.37,51.02
369,45.43,18.16,27.27,72,2368,0.5128,200.00,109.05,63.62,51.28,0.38,50.90
370,45.93,18.63,27.29,74,2370,0.5152,200.00,109.85,63.92,51.52,0.38,51.14
371,46.85,19.59,27.27,78,2368,0.5143,200.00,110.65,63.80,51.43,0.39,51.04
372,47.85,20.54,27.31,82,2371,0.5128,200.00,111.45,63.60,51.28,0.40,50.88
373,47.58,20.30,27.28,81,2369,0.5214,200.00,112.25,64.67,52.14,0.40,51.74
374,48.28,21.02,27.27,84,2368,0.5222,200.00,113.05,64.77,52.22,0.41,51.81
375,49.22,21.97,27.25,88,2367,0.5212,200.00,113.85,64.63,52.12,0.42,51.70
376,49.71,22.45,27.27,90,2368,0.5237,200.00,114.65,64.94,52.37,0.42,51.95
377,50.19,22.92,27.27,92,2368,0.5264,200.00,115.45,65.26,52.64,0.43,52.21
378,50.47,23.16,27.31,93,2371,0.5306,200.00,116.25,65.78,53.06,0.44,52.63
379,51.44,24.12,27.32,97,2372,0.5293,200.00,117.05,65.61,52.93,0.44,52.49
380,52.35,25.07,27.28,101,2369,0.5285,200.00,117.85,65.50,52.85,0.45,52.40
381,53.08,25.79,27.29,104,2370,0.5291,200.00,118.65,65.57,52.91,0.46,52.46
382,53.55,26.27,27.28,106,2369,0.5319,200.00,119.45,65.90,53.19,0.46,52.72
383,55.23,27.94,27.29,113,2370,0.5248,200.00,120.25,65.02,52.48,0.47,52.01
384,55.26,27.94,27.32,113,2372,0.5311,200.00,121.05,65.79,53.11,0.48,52.63
385,55.71,28.42,27.29,115,2370,0.5339,200.00,121.85,66.14,53.39,0.48,52.91
386,56.20,28.90,27.31,117,2371,0.5365,200.00,122.65,66.45,53.65,0.49,53.16
387,56.68,29.38,27.31,119,2371,0.5391,200.00,123.45,66.77,53.91,0.50,53.42
388,57.90,30.57,27.33,124,2373,0.5358,200.00,124.25,66.35,53.58,0.50,53.08
389,57.65,30.33,27.32,123,2372,0.5443,200.00,125.05,67.40,54.43,0.51,53.92
390,57.87,30.57,27.29,124,2370,0.5490,200.00,125.85,67.99,54.90,0.52,54.39
391,58.60,31.29,27.31,127,2371,0.5497,200.00,126.65,68.05,54.97,0.52,54.44
