0,0,195.96,197.82
1,2.66,195.96,197.19
2,4.56,196.22,196.59
3,8.27,195.96,196.01
4,11.03,195.97,195.46
5,13.89,195.96,194.94
6,15.74,196.23,194.45
7,19.46,195.97,193.99
8,22.22,195.99,193.56
9,25.12,195.96,193.16
10,27.89,195.97,192.79
11,30.74,195.96,192.45
12,33.51,195.97,192.15
13,36.37,195.96,191.87
14,38.32,196.21,191.63
15,41.13,196.21,191.41
16,43.9,196.22,191.23
17,46.76,196.21,191.08
18,48.67,196.47,190.96
19,51.53,196.45,190.87
20,53.53,196.69,190.81
21,56.3,196.7,190.79
22,58.21,196.96,190.79
23,61.94,196.7,190.83
24,63.9,196.95,190.9
25,65.81,197.21,191.01
26,69.54,196.95,191.14
27,72.36,196.95,191.31
28,73.5,197.43,191.52
29,75.41,197.69,191.75
30,77.37,197.94,192.02
31,80.24,197.93,192.31
32,83.03,197.94,192.64
33,84.94,198.2,193
34,86.04,198.69,193.4
35,88,198.94,193.82
36,90.83,198.94,194.27
37,93.66,198.94,194.76
38,94.8,199.42,195.28
39,97.59,199.44,195.83
40,97.82,200.18,196.41
41,98.92,200.67,197.02
42,100,200.92,197.65
43,100,201.18,198.31
44,100,201.17,198.99
45,100,201.4,199.68
46,100,201.91,200.4
47,100,202.89,201.13
48,100,202.89,201.88
49,100,203.4,202.65
50,100,203.6,203.44
51,100,204.39,204.24
52,100,204.85,205.06
53,100,205.36,205.89
54,100,206.09,206.74
55,100,206.6,207.61
56,100,207.08,208.49
57,100,207.34,209.38
58,100,208.08,210.29
59,100,208.8,211.21
60,100,208.83,212.15
61,100,210.05,213.1
62,100,210.79,214.06
63,100,211.3,215.04
64,100,211.8,216.02
65,100,212.54,217.02
66,100,213.54,218.03
67,100,214.02,219.05
68,100,215.01,220.09
69,100,215.01,221.13
70,100,216.26,222.18
71,100,217.23,223.25
72,100,217.5,224.32
73,100,219.23,225.41
74,100,218.97,226.5
75,100,220.46,227.61
76,100,221.46,228.72
77,100,222.71,229.84
78,100,222.93,230.97
79,100,223.67,232.11
80,100,224.4,233.26
81,100,224.91,234.41
82,100,226.12,235.58
83,100,227.13,236.75
84,100,228.12,237.93
85,100,229.13,239.11
86,100,229.88,240.31
87,100,230.6,241.51
88,100,232.09,242.72
89,100,232.59,243.93
90,100,233.81,245.15
91,100,234.54,246.38
92,100,235.31,247.61
93,100,237.02,248.85
94,100,237.78,250.1
95,100,239.01,251.35
96,100,239.98,252.61
97,100,240.73,253.87
98,100,242.21,255.14
99,100,243.21,256.41
100,100,244.16,257.69
101,100,245.19,258.97
102,100,246.67,260.26
103,100,247.66,261.55
104,100,248.4,262.85
105,100,250.13,264.15
106,100,250.87,265.45
107,100,252.36,266.76
108,100,253.58,268.08
109,100,254.8,269.4
110,100,256.06,270.72
111,100,256.78,272.05
112,97.89,258.5,273.38
113,97.22,259.5,274.7
114,96.6,260.49,276.02
115,94.21,261.98,277.34
116,92.77,263.2,278.65
117,92.15,264.18,279.96
118,89.9,265.64,281.26
119,89.19,266.65,282.55
120,86.85,268.13,283.84
121,85.37,269.36,285.11
122,83.88,270.59,286.38
123,82.4,271.82,287.64
124,81.02,273.02,288.89
125,79.49,274.26,290.14
126,77.15,275.74,291.37
127,75.63,276.98,292.59
128,74.2,278.2,293.79
129,71.82,279.68,294.99
130,71.2,280.67,296.17
131,68.91,282.13,297.34
132,66.62,283.59,298.5
133,65.06,284.84,299.64
134,62.68,286.32,300.77
135,61.25,287.54,301.88
136,60.64,288.52,302.98
137,58.4,289.96,304.07
138,57.7,290.97,305.14
139,55.37,292.44,306.2
140,53.09,293.9,307.24
141,52.44,294.89,308.27
142,51.02,296.1,309.28
143,48.7,297.57,310.28
144,47.28,298.78,311.26
145,45.77,300.01,312.22
146,44.26,301.25,313.17
147,42.84,302.46,314.1
148,42.24,303.43,315.02
149,40.82,304.64,315.92
150,39.32,305.87,316.81
151,38.72,306.85,317.69
152,37.22,308.08,318.55
153,35.04,309.51,319.39
154,33.59,310.73,320.21
155,33.84,311.46,321.02
156,32.3,312.7,321.82
157,30.89,313.91,322.6
158,30.3,314.88,323.36
159,27.95,316.35,324.12
160,27.4,317.31,324.85
161,26.76,318.3,325.56
162,26.21,319.26,326.27
163,24.77,320.47,326.96
164,24.98,321.21,327.64
165,23.72,322.38,328.3
166,23,323.39,328.95
167,22.45,324.34,329.59
168,21.87,325.32,330.22
169,21.19,326.31,330.83
170,19.8,327.51,331.43
171,20.06,328.24,332.01
172,20.42,328.94,332.59
173,19.88,329.89,333.16
174,18.38,331.12,333.72
175,18.71,331.83,334.26
176,18.1,332.81,334.79
177,18.42,333.52,335.31
178,18.75,334.23,335.83
179,18.1,335.21,336.33
180,17.58,336.16,336.83
181,17.91,336.87,337.32
182,18.24,337.58,337.8
183,18.47,338.32,338.27
184,17.96,339.26,338.74
185,18.15,340.01,339.2
186,18.44,340.73,339.65
187,17.88,341.69,340.1
188,18.21,342.4,340.53
189,19.29,342.89,340.97
190,18.74,343.85,341.4
191,19.02,344.57,341.82
192,20.15,345.05,342.24
193,19.55,346.03,342.66
194,20.73,346.49,343.07
195,20.13,347.47,343.48
196,21.3,347.93,343.88
197,21.69,348.63,344.28
198,21.93,349.36,344.68
199,23.85,349.61,345.08
200,24.1,350.35,345.48
201,24.44,351.05,345.89
202,24.73,351.77,346.29
203,24.98,352.5,346.68
204,26.15,352.97,347.08
205,25.7,353.9,347.48
206,27.53,354.18,347.87
207,27.04,355.12,348.27
208,29.8,355.14,348.67
209,29.3,356.08,349.08
